Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;Toby;Cirel;Am/reserve;33;BMW M4 GT3 2022;26;31;31.460;32.225;50.415;01:54.350;114350;01:54.100;59:04.850;2025-04-27;M2535459005860319
0;Nick;Efdee;Pro;23;Ferrari 296 GT3;32;31;31.644;31.800;50.532;01:54.477;114477;01:53.976;59:08.787;2025-04-27;M2533274876472342
0;Luke;Lodge;Unknown;69;Mercedes AMG GT3 2020;25;31;31.584;31.956;50.565;01:54.303;114303;01:54.105;59:03.393;2025-04-27;M2535460166046909
0;Andrew;Mcvittie;Pro;116;Aston Martin Vantage V8 2019;20;31;31.852;32.107;50.495;01:54.552;114552;01:54.454;59:11.112;2025-04-27;M2533274896948119
0;Linden;Hill;Silver;16;Bentley Continental GT3 2018;8;31;31.942;31.882;50.987;01:55.052;115052;01:54.811;59:26.612;2025-04-27;M2533274805889819
0;Sean;Briggs;Pro;88;Mercedes AMG GT3 2020;25;31;31.927;32.217;51.050;01:55.630;115630;01:55.194;59:44.530;2025-04-27;M2535426324983035
0;Dylan;Illidge;Am/reserve;550;BMW M4 GT3 2022;26;31;31.972;32.095;51.302;01:55.722;115722;01:55.369;59:47.382;2025-04-27;M2535428245246604
0;Tony;Richmond;Am/reserve;747;Audi R8 LMS Evo 2;31;31;31.940;32.180;51.112;01:55.350;115350;01:55.232;59:35.850;2025-04-27;M2535463400577494
0;Richard;Huxley;Am/reserve;89;Ferrari 296 GT3;32;31;32.169;31.983;51.261;01:55.608;115608;01:55.413;59:43.848;2025-04-27;M2535454029768367
0;Rene;Barkowski;Unknown;223;Ferrari 296 GT3;32;31;32.080;32.047;51.067;01:55.545;115545;01:55.194;59:41.895;2025-04-27;P714091755448266866
0;Zack;Gross;Am/reserve;992;Porsche 992 GT3 R;34;31;32.184;31.929;51.069;01:55.938;115938;01:55.182;59:54.078;2025-04-27;M2535430534227760
0;Zoltán;Keszeli;Unknown;25;McLaren 720S GT3 Evo;35;31;31.590;32.075;50.572;01:54.875;114875;01:54.237;59:21.125;2025-04-27;M2535441603635242
0;Sam;Bromhead;Am/reserve;36;McLaren 720S GT3 Evo;35;31;32.045;32.230;51.160;01:55.685;115685;01:55.435;59:46.235;2025-04-27;M2535468358420160
0;Dustin;Hatcher;Am/reserve;777;Ferrari 296 GT3;32;31;32.040;32.082;50.982;01:55.770;115770;01:55.104;59:48.870;2025-04-27;M2533274853814129
0;John;Guise;Pro;10;Mercedes AMG GT3 2020;25;31;32.040;32.145;51.360;01:55.758;115758;01:55.545;59:48.498;2025-04-27;M2533274803882798
0;Graham;Kennedy;Pro;11;McLaren 720S GT3 Evo;35;31;32.067;31.990;51.305;01:55.805;115805;01:55.362;59:49.955;2025-04-27;M2533274817811996
0;Rui;Pedro;Am/reserve;1;Nissan GT-R Nismo GT3 2018;6;31;32.530;32.092;51.332;01:56.655;116655;01:55.954;60:16.305;2025-04-27;M2535407791780515
0;Matt;Keen;Silver;92;Porsche 992 GT3 R;34;31;32.212;32.402;50.942;01:56.100;116100;01:55.556;59:59.100;2025-04-27;M2533274934545075
0;Ben;Jones;Pro;80;BMW M4 GT3 2022;26;31;32.070;32.335;51.132;01:55.600;115600;01:55.537;59:43.600;2025-04-27;M2562092466593675
0;Adam;Lovell;Am/reserve;260;Ford Mustang GT3;36;31;32.361;31.809;52.098;01:56.331;116331;01:56.268;60:06.261;2025-04-27;M2535468859834853
0;Rey;Sabio Jr;Silver;144;Ferrari 296 GT3;32;31;32.220;32.127;51.510;01:56.544;116544;01:55.857;60:12.864;2025-04-27;M2535464171877570
0;Mark;Stapely;Silver;142;McLaren 720S GT3 Evo;35;30;32.327;32.325;51.322;01:56.290;116290;01:55.974;58:08.700;2025-04-27;M2533274804293173
0;James;Roche;Am/reserve;87;Aston Martin Vantage V8 2019;20;30;32.274;32.343;51.498;01:56.325;116325;01:56.115;58:09.750;2025-04-27;M2535428335198107
0;Ricardo;Garcia;Am/reserve;46;Ferrari 296 GT3;32;30;31.847;32.140;51.137;01:55.352;115352;01:55.124;57:40.560;2025-04-27;M2533274823895089
0;Craig;Barfield;Am/reserve;202;BMW M4 GT3 2022;26;30;32.152;32.650;51.580;01:57.005;117005;01:56.382;58:30.150;2025-04-27;P6555717445734582767
0;Jesper;Beiboer;Am/reserve;15;Ferrari 296 GT3;32;30;31.875;32.109;51.030;01:55.374;115374;01:55.014;57:41.220;2025-04-27;M2535465743812802
0;Lee;Hallam;Am/reserve;240;Ferrari 296 GT3;32;30;32.619;32.460;52.476;01:58.101;118101;01:57.555;59:03.030;2025-04-27;M2535429463915836
0;Gareth;Johnstone;Am/reserve;420;Honda NSX Evo 2019;21;30;33.327;32.610;52.785;01:59.004;119004;01:58.722;59:30.120;2025-04-27;M2535421862963748
0;Benjamin;Matthew;Unknown;42;Ferrari 296 GT3;32;30;31.848;32.238;51.066;01:55.545;115545;01:55.152;57:46.350;2025-04-27;M2535456990131789
0;Joshey;Amaral;Am/reserve;206;McLaren 720S GT3 Evo;35;29;32.485;32.475;52.482;01:58.550;118550;01:57.442;57:17.950;2025-04-27;M2535471399818041
