Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Conditions
0;;InocentPredator;Pro;63;Lamborghini Huracan GT3 Evo 2;33;8;33.832;35.060;23.737;01:32.997;92997;01:32.629;12:23.976;2025-08-28;M2533274809212122;Dry
0;;SCRAPPER 2000;Pro;20;Mercedes AMG GT4;60;7;24.380;31.532;36.160;01:32.315;92315;01:32.072;10:46.205;2025-10-20;M2533274796566438;Dry
0;;SCRAPPER 2000;Pro;20;Mercedes AMG GT4;60;7;23.817;31.397;35.940;01:31.500;91500;01:31.154;10:40.500;2025-10-20;M2533274796566438;Dry
0;;SCRAPPER 2000;Pro;20;Mercedes AMG GT4;60;2;24.072;31.767;36.055;01:31.895;91895;01:31.894;03:03.790;2025-10-20;M2533274796566438;Dry
0;;SCRAPPER 2000;Pro;20;Mercedes AMG GT4;60;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-10-20;M2533274796566438;Dry
0;;SCRAPPER 2000;Pro;20;Mercedes AMG GT4;60;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-10-20;M2533274796566438;Dry
0;;SCRAPPER 2000;Pro;20;Mercedes AMG GT4;60;5;24.100;31.585;36.015;01:31.700;91700;01:31.700;07:38.500;2025-10-20;M2533274796566438;Dry
0;;LCS Ginge;Am/reserve;718;Porsche 718 Cayman GT4;61;3;24.783;32.913;38.313;01:36.009;96009;01:36.009;04:48.027;2025-10-21;M2535428335198107;Dry
0;;LCS Ginge;Am/reserve;87;Ginetta G55 GT4;56;7;23.838;32.091;36.648;01:32.982;92982;01:32.577;10:50.874;2025-10-21;M2535428335198107;Dry
0;;LCS Ginge;Am/reserve;504;Mercedes AMG GT4;60;4;24.237;31.956;36.375;01:32.928;92928;01:32.568;06:11.712;2025-10-21;M2535428335198107;Dry
0;;LCS Ginge;Am/reserve;87;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-10-21;M2535428335198107;Dry
0;;doyouwantonions;Unknown;31;Ginetta G55 GT4;56;8;24.497;32.402;36.795;01:33.945;93945;01:33.694;12:31.560;2025-10-21;P8031361137728278417;Dry
0;;bmatthew717;Unknown;42;Ginetta G55 GT4;56;6;23.781;31.296;35.301;01:30.399;90399;01:30.378;09:02.394;2025-10-21;M2535456990131789;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;4;24.063;31.893;36.360;01:32.316;92316;01:32.316;06:09.264;2025-10-21;M2533274963284096;Dry
0;;T1GZ81Honda;Am/reserve;420;Audi R8 LMS GT4;52;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-10-21;M2535421862963748;Dry
0;;BadBen80;Pro;9;Alpine A110 GT4;50;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-10-21;M2562092466593675;Dry
0;;bmatthew717;Unknown;42;Ginetta G55 GT4;56;9;23.715;31.197;35.217;01:30.366;90366;01:30.129;13:33.294;2025-10-21;M2535456990131789;Dry
