Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;Toby;Cirel;Am/reserve;33;BMW M4 GT3 2022;26;28;26.690;48.990;50.200;02:06.075;126075;02:05.880;58:50.100;2025-05-25;M2535459005860319
0;Zoltán;Keszeli;Unknown;25;McLaren 720S GT3 Evo;35;28;26.852;48.885;50.192;02:06.487;126487;02:05.929;59:01.636;2025-05-25;M2535441603635242
0;Nick;Efdee;Pro;23;Ferrari 296 GT3;32;28;27.018;49.335;50.145;02:06.645;126645;02:06.498;59:06.060;2025-05-25;M2533274876472342
0;Zack;Gross;Am/reserve;27;Porsche 992 GT3 R;34;28;26.895;49.281;50.415;02:06.888;126888;02:06.591;59:12.864;2025-05-25;M2535430534227760
0;Benjamin;Matthew;Unknown;42;Ferrari 296 GT3;32;28;26.910;49.587;50.532;02:07.185;127185;02:07.029;59:21.180;2025-05-25;M2535456990131789
0;Ben;Jones;Pro;80;BMW M4 GT3 2022;26;28;26.807;49.177;50.560;02:06.617;126617;02:06.544;59:05.276;2025-05-25;M2562092466593675
0;Jesper;Beiboer;Am/reserve;15;Ferrari 296 GT3;32;28;26.847;49.554;50.478;02:07.287;127287;02:06.879;59:24.036;2025-05-25;M2535465743812802
0;Rob;Sexton;Pro;13;BMW M4 GT3 2022;26;28;26.875;49.755;51.092;02:07.817;127817;02:07.722;59:38.876;2025-05-25;M2533274809212122
0;Mark;Stapely;Silver;142;McLaren 720S GT3 Evo;35;28;26.977;49.815;50.877;02:08.307;128307;02:07.669;59:52.596;2025-05-25;M2533274804293173
0;Dustin;Hatcher;Am/reserve;777;Ferrari 296 GT3;32;28;26.955;49.515;50.745;02:07.275;127275;02:07.215;59:23.700;2025-05-25;M2533274853814129
0;Brian;Slater;Pro;20;Ford Mustang GT3;36;28;26.832;49.407;51.273;02:07.941;127941;02:07.512;59:42.348;2025-05-25;M2533274804593068
0;Richard;Huxley;Am/reserve;89;Ferrari 296 GT3;32;28;27.033;49.800;50.895;02:08.043;128043;02:07.728;59:45.204;2025-05-25;M2535454029768367
0;Sean;Briggs;Pro;88;Mercedes AMG GT3 2020;25;28;27.007;49.672;51.065;02:08.275;128275;02:07.744;59:51.700;2025-05-25;M2535426324983035
0;Mark;Browning;Pro;7;Ferrari 296 GT3;32;28;27.055;49.480;50.580;02:07.397;127397;02:07.115;59:27.116;2025-05-25;M2533274796566438
0;Rey;Sabio Jr;Silver;144;Ferrari 296 GT3;32;28;27.231;50.061;51.465;02:09.021;129021;02:08.757;60:12.588;2025-05-25;M2535464171877570
0;Craig;Barfield;Am/reserve;202;BMW M4 GT3 2022;26;27;27.092;50.217;51.912;02:09.702;129702;02:09.221;58:21.954;2025-05-25;P6555717445734582767
0;Ricardo;Garcia;Am/reserve;46;Ferrari 296 GT3;32;27;27.165;49.857;50.987;02:08.235;128235;02:08.009;57:42.345;2025-05-25;M2533274823895089
0;Andrew;Mcvittie;Pro;116;Aston Martin Vantage V8 2019;20;27;26.815;49.320;50.595;02:07.110;127110;02:06.730;57:11.970;2025-05-25;M2533274896948119
0;John;Guise;Pro;10;Mercedes AMG GT3 2020;25;27;27.177;50.196;50.853;02:08.736;128736;02:08.226;57:55.872;2025-05-25;M2533274803882798
0;James;Roche;Am/reserve;87;Aston Martin Vantage V8 2019;20;27;27.171;50.652;51.795;02:10.155;130155;02:09.618;58:34.185;2025-05-25;M2535428335198107
0;Luke;Lodge;Unknown;69;Mercedes AMG GT3 2020;25;19;26.877;49.311;50.277;02:06.810;126810;02:06.465;40:09.390;2025-05-25;M2535460166046909
0;Adam;Lovell;Am/reserve;260;Ford Mustang GT3;36;15;26.841;50.091;52.746;02:10.485;130485;02:09.678;32:37.275;2025-05-25;M2535468859834853
