Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Conditions
0;B;Dzieciol;Silver;100;Porsche 992 GT3 R;34;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2024-11-18;M2535450086590569;Dry
0;;stardogbarklar;Unknown;71;Aston Martin Vantage V8 2019;20;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2024-11-18;M2535446743928230;Dry
0;;Swift85t;Unknown;85;Alpine A110 GT4;50;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2024-11-18;M2533274814424544;Dry
0;;Swift85t;Unknown;85;McLaren 720S GT3 Evo;35;8;22.745;39.620;27.615;01:30.175;90175;01:29.980;12:01.400;2024-11-18;M2533274814424544;Dry
0;;MODERNDAYC0WB0Y;Unknown;85;McLaren 720S GT3 Evo;35;32;22.482;39.305;27.265;01:29.182;89182;01:29.052;47:33.824;2024-11-19;M2535410913455645;Dry
0;N;Broom;Unknown;70;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2024-11-19;M2535454178273006;Dry
0;C;Privett;Unknown;69;Ferrari 296 GT3;32;12;22.707;39.532;27.582;01:29.845;89845;01:29.821;17:58.140;2024-11-19;M2533274799901907;Dry
0;N;Broom;Unknown;70;Ferrari 296 GT3;32;27;22.725;39.666;27.417;01:30.012;90012;01:29.808;40:30.324;2024-11-19;M2535454178273006;Dry
0;;Mint Memes;Unknown;132;Porsche 992 GT3 R;34;18;22.525;38.957;26.907;01:28.525;88525;01:28.389;26:33.450;2024-11-19;M2535406528932198;Dry
0;;ping22587;Am/reserve;50;McLaren 720S GT3 Evo;35;26;22.536;39.108;27.033;01:28.749;88749;01:28.677;38:27.474;2024-11-19;M2535430534227760;Dry
0;;ToastyTexas9#841;Unknown;133;Porsche 992 GT3 R;34;19;22.677;39.015;27.365;01:29.175;89175;01:29.057;28:14.325;2024-11-19;M2535431063808166;Dry
0;;llmikyll;Unknown;6;Ferrari 296 GT3;32;13;22.670;39.587;27.565;01:29.970;89970;01:29.822;19:29.610;2024-11-19;P4909961055102912675;Dry
0;C;Privett;Unknown;69;Ferrari 296 GT3;32;8;22.815;39.242;27.772;01:30.022;90022;01:29.829;12:00.176;2024-11-19;M2533274799901907;Dry
0;N;Broom;Unknown;76;Ferrari 296 GT3;32;9;22.863;39.606;27.609;01:30.132;90132;01:30.078;13:31.188;2024-11-19;M2535454178273006;Dry
0;R;Huxley;Am/reserve;400;Ferrari 296 GT3;32;4;22.797;40.344;27.996;01:31.716;91716;01:31.137;06:06.864;2024-11-19;M2535454029768367;Dry
0;;Zamby Driver;Unknown;790;Lamborghini Huracan GT3 Evo 2;33;21;22.542;39.255;27.057;01:28.974;88974;01:28.854;31:08.454;2024-11-19;M2535441344405834;Dry
0;;MODERNDAYC0WB0Y;Unknown;85;McLaren 720S GT3 Evo;35;18;22.747;39.942;27.745;01:30.592;90592;01:30.434;27:10.656;2024-11-19;M2535410913455645;Dry
0;;stardogbarklar;Unknown;71;Aston Martin Vantage V8 2019;20;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2024-11-20;M2535446743928230;Dry
0;;stardogbarklar;Unknown;71;Aston Martin Vantage V8 2019;20;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2024-11-20;M2535446743928230;Dry
0;;Smokey McDoobie;Unknown;68;McLaren 720S GT3 Evo;35;52;22.745;39.557;27.682;01:30.145;90145;01:29.984;78:07.540;2024-11-20;M2533274972665933;Dry
0;;GameChanger005;Unknown;10;Ferrari 296 GT3;32;15;22.387;38.922;26.925;01:28.237;88237;01:28.234;22:03.555;2024-11-20;M2535425231317196;Dry
0;;ANM VIRZIO;Unknown;6;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2024-11-20;M2535415068381608;Dry
0;;HyperVenom#65041;Unknown;300;McLaren 720S GT3 Evo;35;18;22.326;39.159;27.135;01:28.674;88674;01:28.620;26:36.132;2024-11-20;M2535420124665166;Dry
0;;Imagine Sphax;Pro;301;McLaren 720S GT3 Evo;35;11;22.494;39.273;27.108;01:28.968;88968;01:28.875;16:18.648;2024-11-20;M2533274876472342;Dry
0;;GameChanger005;Unknown;10;Ferrari 296 GT3;32;29;22.575;39.195;27.122;01:28.997;88997;01:28.892;43:00.913;2024-11-20;M2535425231317196;Dry
